university_name,gre,tuition_per_semester,student_faculty_ratio,cost_of_living,job_placement_alumni_success,branch
"University of California, Berkeley",337,26500.0,14.0,25254,96,Public Health
Carnegie Mellon University,338,27500.0,14.0,44400,99,Public Health
Texas A&M University,338,19500.0,19.0,18036,99,Public Health
California Institute of Technology,336,32500.0,10.0,40800,98,Public Health
University of Illinois at Urbana – Champaign,337,23500.0,17.0,22800,98,Public Health
Yale University,335,30000.0,12.0,40800,98,Public Health
"University of California, Los Angeles (UCLA)",332,26500.0,14.0,29604,96,Public Health
"The University of Maryland, College Park",336,19000.0,19.0,22800,98,Public Health
Cornell University,333,27500.0,14.0,25332,99,Public Health
Columbia University,333,28500.0,13.0,42300,98,Public Health
Dartmouth College,332,29000.0,12.0,40800,95,Public Health
Brown University,336,30500.0,11.0,40800,96,Public Health
John Hopkins University,340,29500.0,11.0,40800,96,Public Health
Duke University,335,30000.0,12.0,40800,98,Public Health
"University of California, San Diego",332,25500.0,15.0,22800,97,Public Health
Rice University,335,28000.0,13.0,40800,95,Public Health
University of Wisconsin,336,21000.0,17.0,22800,98,Public Health
University of Texas at Austin,334,20500.0,17.0,22800,95,Public Health
"University of Michigan, Ann Arbor",339,24500.0,16.0,22800,99,Public Health
University of Pennsylvania,333,28000.0,13.0,42650,95,Public Health
University of Virginia,337,22000.0,16.0,39600,99,Public Health
Rutgers University,335,18500.0,18.0,36144,96,Public Health
University of Chicago,333,27000.0,14.0,44400,99,Public Health
Northwestern University,331,26000.0,14.0,42000,95,Public Health
University of Massachusetts,333,17500.0,19.0,37428,99,Public Health
"University of Washington, Seattle",338,21500.0,16.0,25254,97,Public Health
Washington University in St. Louis,335,28500.0,13.0,44400,99,Public Health
University of Arizona,336,20000.0,18.0,21600,98,Public Health
University of Notre Dame,331,25000.0,15.0,40800,97,Public Health
Rensselaer Polytechnic Institute,332,24000.0,16.0,40800,97,Public Health
"University of California, Irvine",334,22000.0,16.0,22800,95,Public Health
"University of California, Santa Cruz",334,20500.0,17.0,22800,95,Public Health
California State University,291,12000.0,20.0,23496,79,Information Technology
Cleveland State University,291,15500.0,18.0,18234,85,Information Technology
Kent State University,292,14000.0,17.0,17342,85,Information Technology
New York Institute of Technology,298,25000.0,16.0,36588,86,Information Technology
University of Louisville,297,20500.0,15.0,17192,81,Information Technology
University of Houston,298,18000.0,19.0,16888,78,Information Technology
"California State University, Chico",298,13500.0,21.0,23496,80,Information Technology
Oklahoma City University,295,22000.0,14.0,22530,81,Information Technology
"State University of New York, Albany",299,16500.0,22.0,20952,84,Information Technology
Arizona State University,308,20000.0,18.0,21912,87,Information Technology
Stevens Institute of Technology,308,27500.0,14.0,37056,92,Information Technology
University of Central Florida,301,18000.0,19.0,18588,86,Information Technology
Drexel University,306,24000.0,16.0,38232,86,Information Technology
Temple University,309,20000.0,17.0,36144,92,Information Technology
University of Houston,305,18500.0,15.0,16888,88,Information Technology
"University of Alabama, Huntsville",308,17000.0,20.0,17754,86,Information Technology
"University of Maryland, Baltimore County",309,19500.0,19.0,22800,89,Information Technology
Georgia State University,309,18500.0,15.0,20616,87,Information Technology
University of Massachusetts Dartmouth,305,16500.0,20.0,37428,87,Information Technology
San Diego University,307,23000.0,15.0,18901,90,Information Technology
University of Wisconsin-Milwaukee,304,18500.0,15.0,19248,91,Information Technology
Old Dominion University,309,17500.0,19.0,19140,88,Information Technology
Santa Clara University,310,27000.0,13.0,39924,91,Information Technology
Pennsylvania State University,313,20000.0,18.0,20880,94,Information Technology
Ohio State University,311,19500.0,19.0,20760,92,Information Technology
North Carolina State University,313,20500.0,17.0,20448,94,Information Technology
Boston University,315,25000.0,15.0,36918,90,Information Technology
"University of Colorado, Boulder",318,21500.0,16.0,21384,91,Information Technology
Indiana University Bloomington,313,18500.0,18.0,19296,91,Information Technology
Arizona State University,313,20000.0,18.0,21912,90,Information Technology
"University of North Carolina, Greensboro",320,19000.0,19.0,19140,93,Information Technology
Louisiana State University,312,17500.0,19.0,17952,93,Information Technology
The University of Alabama at Birmingham,316,18000.0,19.0,17754,94,Information Technology
New York University,318,27000.0,13.0,39888,93,Information Technology
University of Iowa,313,17500.0,19.0,19248,90,Information Technology
"University of Michigan, Dearborn",316,22000.0,16.0,20760,95,Information Technology
"University of Texas, Dallas",320,19500.0,19.0,19656,93,Information Technology
University of South Florida,314,17500.0,19.0,18588,91,Information Technology
Colorado State University,312,18500.0,18.0,20400,92,Information Technology
University of Florida,313,20000.0,18.0,20616,91,Information Technology
Tulane University,319,24000.0,16.0,33732,94,Information Technology
University of Southern California,315,28000.0,13.0,39696,92,Information Technology
Rice University,322,28000.0,13.0,40800,97,Information Technology
University of Michigan Ann Arbor,330,24500.0,16.0,22800,93,Information Technology
Georgia Institute of Technology,327,23500.0,17.0,20616,94,Information Technology
University of Illinois Urbana-Champaign,328,23500.0,17.0,22800,93,Information Technology
Cornell University,325,27500.0,14.0,25332,94,Information Technology
Johns Hopkins University,326,29500.0,11.0,40800,96,Information Technology
Duke University,321,30000.0,12.0,40800,93,Information Technology
Brown University,323,30500.0,11.0,40800,95,Information Technology
Purdue University,326,20000.0,18.0,19464,97,Information Technology
University of Texas Austin,322,20500.0,17.0,22800,96,Information Technology
University of Wisconsin Madison,325,21000.0,17.0,22800,94,Information Technology
Iowa State University,324,18500.0,18.0,17472,93,Information Technology
Northwestern University,321,26000.0,14.0,42000,96,Information Technology
Vanderbitt University,327,29000.0,12.0,40800,94,Information Technology
University of Virginia,322,22000.0,16.0,39600,96,Information Technology
University of Minnesota Twin Cities,321,21500.0,16.0,22800,96,Information Technology
Rensselaer Polytechnic Institute,330,24000.0,16.0,40800,94,Information Technology
University of Rochester,329,28000.0,12.0,41412,96,Information Technology
University of Southern California,326,29000.0,11.0,39696,96,Information Technology
University of Maryland College Park,327,26000.0,14.0,22800,96,Information Technology
Ohio State University,330,25500.0,15.0,20760,96,Information Technology
Virginia Tech - College of Engineering,327,23000.0,17.0,20448,96,Information Technology
University of California Irvine,329,22000.0,16.0,22800,94,Information Technology
Texas A&M University,322,21000.0,17.0,18036,93,Information Technology
North Carolina State University,327,20500.0,17.0,20448,96,Information Technology
University of Calfornia Santa Barbara,323,23500.0,16.0,22800,97,Information Technology
University of Washington,330,24000.0,16.0,25254,97,Information Technology
University of California Davis,322,22500.0,17.0,22800,94,Information Technology
"University of Colorado, Boulder",323,21500.0,16.0,21384,97,Information Technology
Massachusetts Institute of Technology (MIT),340,32000.0,10.0,44400,96,Information Technology
Stanford University,336,31000.0,11.0,41000,96,Information Technology
California Institute of Technology,334,32500.0,10.0,40800,95,Information Technology
"University of California, Berkeley",339,26500.0,14.0,25254,99,Information Technology
Carnegie Mellon University,340,27500.0,14.0,44400,95,Information Technology
Princeton University,337,30500.0,11.0,42650,98,Information Technology
University of Texas at Austin,331,20500.0,17.0,22800,95,Information Technology
Harvard University,338,33000.0,9.0,42650,99,Information Technology
Texas A & M University,338,19500.0,19.0,18036,97,Information Technology
"University of Michigan, Ann Arbor",335,24500.0,16.0,22800,95,Information Technology
"University of Illinois, Urbana Champaign",335,23500.0,17.0,22800,97,Information Technology
"California State University, Fresno",293,12000.0,20.0,23496,86,Bio-Medical Science
Cleveland State University,295,15500.0,18.0,18234,80,Bio-Medical Science
Kent State University,292,14000.0,17.0,17342,87,Bio-Medical Science
New York Institute of Technology,299,25000.0,16.0,36588,84,Bio-Medical Science
University of Louisville,290,20500.0,15.0,17192,79,Bio-Medical Science
University of Houston,298,18000.0,19.0,16888,84,Bio-Medical Science
University of Hawaii,291,22000.0,14.0,24636,84,Bio-Medical Science
University of Denver,294,23000.0,16.0,40200,84,Bio-Medical Science
Loyola University Chicago,290,21000.0,17.0,38952,86,Bio-Medical Science
"Illinois State University, Normal",298,18500.0,15.0,19296,82,Bio-Medical Science
"Temple University, PA",290,20000.0,17.0,36144,82,Bio-Medical Science
Jackson State University,300,16000.0,19.0,16080,85,Bio-Medical Science
Ferris State University,295,14500.0,20.0,19248,81,Bio-Medical Science
"University of New Haven, CT",298,24000.0,16.0,41280,85,Bio-Medical Science
"Farleigh Dickinson University, New Jersey",291,26000.0,14.0,35124,80,Bio-Medical Science
"State University of New York, Albany",298,16500.0,22.0,20952,86,Bio-Medical Science
College of William & Mary,300,21500.0,16.0,39204,85,Bio-Medical Science
East Tennessee State University,297,18000.0,19.0,18216,81,Bio-Medical Science
"Southwest Texas State University, San Marcos",299,15500.0,18.0,18432,85,Bio-Medical Science
DePaul University,295,22000.0,14.0,38520,81,Bio-Medical Science
Mc Neese State University,296,14500.0,20.0,16332,79,Bio-Medical Science
Oakland University,291,20000.0,17.0,20760,81,Bio-Medical Science
Sam Houston State University,291,15000.0,18.0,17544,80,Bio-Medical Science
San Jose State University,296,17000.0,20.0,23364,84,Bio-Medical Science
William Patterson University,298,16500.0,17.0,37428,78,Bio-Medical Science
Western Carolina University,296,14000.0,19.0,19140,83,Bio-Medical Science
University of Central Oklahoma,290,16500.0,17.0,18900,87,Bio-Medical Science
Widener University,290,22000.0,14.0,38232,84,Bio-Medical Science
"University of St Thomas, MN",299,23000.0,16.0,22800,82,Bio-Medical Science
Western Illinois University,293,13500.0,21.0,19296,84,Bio-Medical Science
"Bowling Green State University, Ohio",296,15500.0,18.0,20400,79,Bio-Medical Science
Delaware State University,298,17000.0,20.0,17754,84,Bio-Medical Science
"State University of New York, New Paltz",290,16000.0,19.0,22800,86,Bio-Medical Science
Central Michigan University,294,14500.0,20.0,19248,85,Bio-Medical Science
University of Southern Mississippi,291,16000.0,19.0,18720,86,Bio-Medical Science
Indiana University South Bend,293,15000.0,18.0,19296,79,Bio-Medical Science
Saint Mary’s University San Antonio,295,18500.0,15.0,18060,81,Bio-Medical Science
"Shippensburg University, PA",297,17500.0,19.0,20880,79,Bio-Medical Science
East Tennessee State University,291,18000.0,19.0,18216,85,Bio-Medical Science
"University of Texas, Pan America",295,16500.0,17.0,19656,83,Bio-Medical Science
Oklahoma City University,298,22000.0,14.0,22530,80,Bio-Medical Science
Frostburg State University,299,15500.0,18.0,22800,78,Bio-Medical Science
"La Salle University, PA",297,20000.0,17.0,37428,88,Bio-Medical Science
Alfred University,296,23000.0,16.0,37284,78,Bio-Medical Science
Monmouth University-New Jersey,295,26000.0,14.0,37428,82,Bio-Medical Science
Southern New Hampshire University,296,21000.0,17.0,37428,87,Bio-Medical Science
Roosevelt University Chicago,296,22500.0,16.0,37428,86,Bio-Medical Science
Drake University,292,24000.0,16.0,35520,80,Bio-Medical Science
Duquesne University,290,25000.0,15.0,37428,78,Bio-Medical Science
Georgia College & State University,298,13000.0,18.0,18096,78,Bio-Medical Science
Arizona State University,306,18000.0,20.0,21912,86,Bio-Medical Science
Stevens Institute of Technology,308,25000.0,15.0,37056,88,Bio-Medical Science
University of Central Florida,302,15000.0,22.0,18588,85,Bio-Medical Science
Southern Methodist University,310,22000.0,17.0,38232,92,Bio-Medical Science
University of Nebraska,307,17000.0,19.0,19248,85,Bio-Medical Science
New Jersey Institute of Technology,305,20000.0,18.0,36588,85,Bio-Medical Science
University of Tampa,310,19000.0,20.0,18588,85,Bio-Medical Science
University of Houston,307,16000.0,21.0,16888,91,Bio-Medical Science
Colorado State University,309,18500.0,19.0,20400,92,Bio-Medical Science
Rochester Institute of Technology,303,23000.0,16.0,38232,90,Bio-Medical Science
Louisiana State University,307,17500.0,20.0,17952,89,Bio-Medical Science
Auburn University,310,19500.0,18.0,17192,86,Bio-Medical Science
University of Kentucky,309,16500.0,21.0,17192,92,Bio-Medical Science
University of Kansas,308,17500.0,20.0,19248,92,Bio-Medical Science
North Dakota State University,310,15500.0,22.0,17472,85,Bio-Medical Science
Drexel University,302,24000.0,16.0,38232,89,Bio-Medical Science
University of Arkansas,302,16000.0,21.0,17192,87,Bio-Medical Science
University of Dayton,306,21000.0,17.0,38232,92,Bio-Medical Science
University of New Mexico,309,17500.0,20.0,18096,87,Bio-Medical Science
Villanova University,303,23500.0,16.0,38232,85,Bio-Medical Science
Wright State University,308,20000.0,18.0,18096,85,Bio-Medical Science
Illinois Institute of Technology,304,22000.0,17.0,38232,92,Bio-Medical Science
Kansas State University,309,17000.0,19.0,17472,89,Bio-Medical Science
Missouri State University,309,16500.0,21.0,17192,88,Bio-Medical Science
Northeastern University,308,23000.0,16.0,38232,90,Bio-Medical Science
Oklahoma State University,301,18000.0,19.0,17472,85,Bio-Medical Science
Oregon State University,304,17000.0,20.0,18096,86,Bio-Medical Science
State University of New York Albany,305,16500.0,21.0,20952,92,Bio-Medical Science
Tennessee Technological University,303,19000.0,20.0,17192,91,Bio-Medical Science
Texas Tech University,309,18000.0,19.0,18096,91,Bio-Medical Science
"University of Alabama, Huntsville",308,17500.0,20.0,17754,92,Bio-Medical Science
University of Connecticut,308,20500.0,18.0,37428,90,Bio-Medical Science
University of Louisiana,303,16500.0,21.0,17192,88,Bio-Medical Science
University of Nevada,302,17000.0,20.0,18096,91,Bio-Medical Science
University of Oklahoma,309,18500.0,19.0,17472,88,Bio-Medical Science
University of Pittsburgh,306,22500.0,17.0,38232,85,Bio-Medical Science
"University of Texas, Arlington",310,16500.0,21.0,18096,89,Bio-Medical Science
Wayne State University,308,19500.0,18.0,18096,91,Bio-Medical Science
West Virginia University,309,17000.0,20.0,17192,89,Bio-Medical Science
Georgia State University,305,20000.0,18.0,20616,92,Bio-Medical Science
University of Massachusetts Dartmouth,304,19000.0,20.0,37428,88,Bio-Medical Science
San Diego State University,301,18000.0,19.0,18901,86,Bio-Medical Science
University of Wisconsin-Milwaukee,303,17500.0,20.0,19248,88,Bio-Medical Science
Old Dominion University,302,16500.0,21.0,19140,92,Bio-Medical Science
Santa Clara University,306,23500.0,16.0,39924,87,Bio-Medical Science
Duke University (Master of Biomedical Sciences Program),304,30000.0,12.0,40800,92,Bio-Medical Science
"University of Oklahoma (Norman, Oklahoma)",305,18500.0,19.0,17472,92,Bio-Medical Science
"Kansas State University (Manhattan, Kansas)",305,17000.0,20.0,17472,92,Bio-Medical Science
"West Virginia University (Morgantown, West Virginia)",310,17000.0,20.0,17192,92,Bio-Medical Science
"Institute for Biomedical Sciences, Georgia State University",301,21000.0,17.0,20616,91,Bio-Medical Science
Pennsylvania State University,320,22000.0,17.0,20880,90,Bio-Medical Science
Ohio State University,315,21500.0,17.0,20760,93,Bio-Medical Science
North Carolina State University,320,20500.0,17.0,20448,94,Bio-Medical Science
Boston University,317,23000.0,17.0,36918,90,Bio-Medical Science
"University of Colorado, Boulder",314,18500.0,17.0,21384,95,Bio-Medical Science
Indiana University Bloomington,316,17500.0,17.0,19296,95,Bio-Medical Science
Arizona State University,315,18000.0,17.0,21912,90,Bio-Medical Science
"University of North Carolina, Greensboro",311,20000.0,17.0,19140,95,Bio-Medical Science
Louisiana State University,319,17500.0,17.0,17952,95,Bio-Medical Science
The University of Alabama at Birmingham,316,17000.0,17.0,17754,93,Bio-Medical Science
New York University,316,24000.0,17.0,39888,91,Bio-Medical Science
University of Iowa,315,17000.0,17.0,19248,91,Bio-Medical Science
"University of Michigan, Dearborn",318,20500.0,17.0,20760,91,Bio-Medical Science
"University of Texas, Dallas",313,18000.0,17.0,19656,95,Bio-Medical Science
University of South Florida,320,16500.0,17.0,18588,90,Bio-Medical Science
Colorado State University,313,18500.0,17.0,20400,95,Bio-Medical Science
University of Florida,317,19000.0,17.0,20616,90,Bio-Medical Science
Tulane University,318,23500.0,17.0,33732,93,Bio-Medical Science
University of Southern California,314,25000.0,17.0,39696,93,Bio-Medical Science
Eastern Michigan University,319,17000.0,17.0,18096,94,Bio-Medical Science
University of Central Arkansas,313,16500.0,17.0,17192,91,Bio-Medical Science
Florida Atlantic University,313,18500.0,17.0,18588,95,Bio-Medical Science
Harvard University (Biological and Biomedical Sciences),318,30500.0,17.0,42650,90,Bio-Medical Science
"Institute for Biomedical Sciences, Georgia State University",320,21000.0,17.0,20616,94,Bio-Medical Science
Florida Atlantic University,326,18500.0,17.0,18588,94,Bio-Medical Science
Regis University,330,20500.0,17.0,38232,93,Bio-Medical Science
Tufts University School of Medicine,326,29000.0,17.0,42650,95,Bio-Medical Science
Baylor College of Medicine,323,28500.0,17.0,42650,95,Bio-Medical Science
John Hopkins University,338,28000.0,17.0,40800,99,Bio-Medical Science
Kent State University,336,17500.0,17.0,17342,96,Bio-Medical Science
The George Washington University,336,22000.0,17.0,42650,98,Bio-Medical Science
Binghamton University,335,19500.0,17.0,37428,95,Bio-Medical Science
North Caroline State University,336,20500.0,17.0,20448,95,Bio-Medical Science
Thomas Jefferson University,340,25500.0,17.0,42650,99,Bio-Medical Science
Mercer University,333,21000.0,17.0,18096,96,Bio-Medical Science
Florida Institute of Technology,337,23000.0,17.0,18588,99,Bio-Medical Science
Temple University,337,21000.0,17.0,36144,99,Bio-Medical Science
Southwestern Oklahoma State University,334,15500.0,17.0,17472,95,Bio-Medical Science
California State University,297,10000.0,20.0,23496,86,Finance
Cleveland State UNiversoty,298,12000.0,18.0,18234,88,Finance
Kent state University,295,11000.0,17.0,17342,81,Finance
New York Institute of Technology,291,20000.0,16.0,36588,83,Finance
University of Houston,293,15000.0,19.0,16888,81,Finance
Oklahoma City University,292,18000.0,14.0,22530,88,Finance
texas A & M Universty,298,16000.0,19.0,18036,79,Finance
Lamar University,292,14000.0,20.0,16332,83,Finance
Arizona State University,307,15000.0,18.0,21912,87,Finance
Stevens Institute of Technology,301,22000.0,14.0,37056,85,Finance
University of Central Florida,303,14000.0,19.0,18588,91,Finance
Drexel University,307,20000.0,16.0,38232,90,Finance
Northeastern University,306,19000.0,17.0,38232,92,Finance
University of North Texas,310,13000.0,21.0,17472,86,Finance
Northern Illinois University,306,12500.0,22.0,19248,87,Finance
University of Oklahoma,309,14500.0,20.0,17472,86,Finance
Oklahoma State University-Stillwater,310,15000.0,18.0,17472,85,Finance
University of South Carolina,307,16000.0,19.0,18720,85,Finance
Old Dominion University,301,13500.0,21.0,19140,86,Finance
University of South Florida,306,14000.0,19.0,18588,90,Finance
Rochester Institute of Technology,304,21000.0,16.0,38232,90,Finance
University of Texas at Arlington,307,15500.0,18.0,18096,88,Finance
"Rutgers University, Newark",302,16500.0,17.0,36144,90,Finance
University of Texas at Dallas,305,16000.0,19.0,19656,92,Finance
San Diego State University,301,17000.0,20.0,18901,87,Finance
University of Texas at San Antonio,301,16500.0,17.0,18432,90,Finance
San Francisco State University,302,17500.0,19.0,23364,91,Finance
University of Toledo,309,13500.0,21.0,19248,91,Finance
San Jose State University,306,17000.0,20.0,23364,90,Finance
University of Wisconsin-Milwaukee,308,14500.0,20.0,19248,90,Finance
Santa Clara University,309,22000.0,14.0,39924,88,Finance
Utah State University,306,13500.0,21.0,18096,86,Finance
"Southern Illinois University, Carbondale",307,12500.0,22.0,17192,86,Finance
Washington State University,309,14500.0,20.0,18096,85,Finance
Southern Methodist University,303,20000.0,16.0,38232,87,Finance
Wayne State University,310,16500.0,17.0,18096,87,Finance
"State University of New York, Albany",301,13000.0,21.0,20952,88,Finance
"West Virginia University, Morgantown",307,14000.0,19.0,17192,91,Finance
State University of New York at Binghamton,302,13500.0,21.0,37428,92,Finance
Western Michigan University,307,12000.0,18.0,19248,87,Finance
Pennsylvania State University,314,16000.0,19.0,20880,92,Finance
Ohio State University:,316,15500.0,18.0,20760,91,Finance
North Carolina State University,316,16000.0,19.0,20448,90,Finance
Boston University,311,20000.0,16.0,36918,92,Finance
"University of Colorado, Boulder",314,17000.0,20.0,21384,94,Finance
Indiana University Bloomington,311,15000.0,18.0,19296,95,Finance
"University of North Carolina, Greensboro",317,14500.0,20.0,19140,94,Finance
Louisiana State University,318,13500.0,21.0,17952,90,Finance
The University of Alabama at Birmingham,313,14000.0,19.0,17754,92,Finance
New York University,319,21000.0,16.0,39888,93,Finance
University of Iowa,314,13500.0,21.0,19248,95,Finance
"University of Michigan, Dearborn:",320,17000.0,20.0,20760,94,Finance
"University of Texas, Dallas",314,16000.0,19.0,19656,92,Finance
University of South Florida,315,14000.0,19.0,18588,91,Finance
Colorado State University,315,15000.0,18.0,20400,90,Finance
University of Florida,316,16000.0,19.0,20616,92,Finance
Tulane University,315,20000.0,16.0,33732,91,Finance
University of Southern California,320,22000.0,14.0,39696,92,Finance
University of Pennsylvania (UPenn) - College of Engineering,323,23000.0,17.0,42650,94,Finance
Rice University - George R. Brown School of Engineering,323,24000.0,16.0,40800,96,Finance
"University of Michigan, Ann Arbor - College of Engineering",326,22500.0,17.0,22800,96,Finance
Georgia Institute of Technology - College of Engineering,323,22000.0,15.0,20616,96,Finance
"University of Illinois, Urbana-Champaign - College of Engineering",322,21500.0,16.0,22800,97,Finance
Cornell University - College of Engineering,328,28000.0,12.0,25332,95,Finance
Johns Hopkins University - Whiting School of Engineering,322,29500.0,11.0,40800,94,Finance
Duke University - Pratt School of Engineering,329,30000.0,12.0,40800,97,Finance
Brown University - School of Engineering,330,30500.0,11.0,40800,96,Finance
Purdue University - College of Engineering,329,20000.0,18.0,19464,94,Finance
Massachusetts Institute of Technology,336,32000.0,10.0,44400,95,Finance
Stanford University,337,31000.0,11.0,41000,95,Finance
"University of California, Berkeley",335,26500.0,14.0,25254,98,Finance
"University of Michigan, Ann-Arbor",336,24500.0,16.0,22800,98,Finance
University of Southern California,335,28000.0,13.0,39696,98,Finance
Georgia Institute of Technology,340,22000.0,15.0,20616,95,Finance
Ohio State University,340,25500.0,15.0,20760,99,Finance
Boston University,340,25000.0,15.0,36918,99,Finance
"University of Texas, Austin",337,20500.0,17.0,22800,97,Finance
"California State University, Northridge",297,15000.0,20.0,23496,85,Engineering Management
"California State University, Fresno",292,14000.0,21.0,23496,85,Engineering Management
Cleveland State University,300,16500.0,19.0,18234,80,Engineering Management
Kent State University,293,17000.0,18.0,17342,80,Engineering Management
New York Institute of Technology,293,23000.0,16.0,36588,79,Engineering Management
University of Louisville,292,19000.0,20.0,17192,85,Engineering Management
University of Houston,298,18000.0,19.0,16888,80,Engineering Management
Unversity of Texas - Arlington,290,17500.0,20.0,18096,80,Engineering Management
New Jersey Institute of Technology,292,21500.0,17.0,36588,81,Engineering Management
University of Illinois - Chicago,300,20000.0,18.0,38520,82,Engineering Management
Stony Brook University,296,19500.0,18.0,37428,86,Engineering Management
University of Marylnad - College Park,297,22000.0,17.0,22800,85,Engineering Management
Arizona State University - Tempe Campus,300,19500.0,18.0,21912,87,Engineering Management
Arizona State University,310,19000.0,20.0,21912,85,Engineering Management
Stevens Institute of Technology,310,25000.0,15.0,37056,85,Engineering Management
University of Central Florida,309,16500.0,19.0,18588,85,Engineering Management
Drexel University,302,23500.0,16.0,38232,90,Engineering Management
University of North Carolina at Charlotte,306,20500.0,18.0,20448,90,Engineering Management
Northeastern University,302,24000.0,16.0,38232,90,Engineering Management
University of North Texas,308,18000.0,19.0,17472,86,Engineering Management
Northern Illinois University,304,17500.0,20.0,19248,88,Engineering Management
University of Oklahoma,301,18500.0,19.0,17472,88,Engineering Management
Oklahoma State University-Stillwater,307,18000.0,19.0,17472,85,Engineering Management
University of South Carolina,308,19000.0,20.0,18720,90,Engineering Management
Old Dominion University,306,17500.0,20.0,19140,90,Engineering Management
University of South Florida,301,18000.0,19.0,18588,90,Engineering Management
Rochester Institute of Technology,308,24500.0,15.0,38232,88,Engineering Management
University of Texas at Arlington,310,17500.0,20.0,18096,88,Engineering Management
"Rutgers University, Newark",306,21500.0,17.0,36144,87,Engineering Management
University of Texas at Dallas,305,18000.0,19.0,19656,86,Engineering Management
San Diego State University,306,18500.0,19.0,18901,90,Engineering Management
University of Texas at San Antonio,310,17500.0,20.0,18432,91,Engineering Management
San Francisco State University,302,20000.0,18.0,23364,89,Engineering Management
University of Toledo,309,17500.0,20.0,19248,90,Engineering Management
San Jose State University,305,19000.0,20.0,23364,91,Engineering Management
University of Wisconsin-Milwaukee,305,17000.0,19.0,19248,92,Engineering Management
Santa Clara University,307,23500.0,16.0,39924,89,Engineering Management
Utah State University,304,16500.0,19.0,18096,87,Engineering Management
"Southern Illinois University, Carbondale",307,17500.0,20.0,17192,85,Engineering Management
Washington State University,301,18000.0,19.0,18096,85,Engineering Management
Southern Methodist University,301,22000.0,17.0,38232,91,Engineering Management
Wayne State University,307,19500.0,18.0,18096,87,Engineering Management
"State University of New York, Albany",309,19000.0,20.0,20952,86,Engineering Management
"West Virginia University, Morgantown",308,17000.0,19.0,17192,88,Engineering Management
State University of New York at Binghamton,310,19500.0,18.0,37428,86,Engineering Management
Western Michigan University,301,16500.0,19.0,19248,85,Engineering Management
Pennsylvania State University,316,22500.0,17.0,20880,91,Engineering Management
Ohio State University,312,21500.0,16.0,20760,90,Engineering Management
North Carolina State University,319,20500.0,18.0,20448,90,Engineering Management
Boston University,318,25000.0,14.0,36918,95,Engineering Management
"University of Colorado, Boulder",319,20500.0,16.0,21384,91,Engineering Management
Indiana University Bloomington,315,18000.0,18.0,19296,95,Engineering Management
Arizona State University,311,19500.0,17.0,21912,90,Engineering Management
"University of North Carolina, Greensboro",317,17500.0,19.0,19140,94,Engineering Management
Louisiana State University,320,18500.0,18.0,17952,91,Engineering Management
The University of Alabama at Birmingham,316,21000.0,17.0,17754,92,Engineering Management
New York University,316,24000.0,15.0,39888,93,Engineering Management
University of Iowa,316,20000.0,18.0,19248,90,Engineering Management
"University of Michigan, Dearborn",316,23000.0,16.0,20760,94,Engineering Management
"University of Texas, Dallas",320,18500.0,18.0,19656,93,Engineering Management
University of South Florida,312,17500.0,19.0,18588,95,Engineering Management
Colorado State University,313,19000.0,17.0,20400,93,Engineering Management
University of Florida,320,19500.0,18.0,20616,93,Engineering Management
Tulane University,313,23500.0,16.0,33732,95,Engineering Management
University of Southern California,316,25500.0,15.0,39696,90,Engineering Management
Duke University - Pratt School of Engineering,326,26000.0,14.0,40800,96,Engineering Management
Brown University - School of Engineering,328,27000.0,13.0,40800,97,Engineering Management
Purdue University - College of Engineering,321,22500.0,17.0,19464,96,Engineering Management
University of Texas Austin - Cockrell School of Engineering,326,23000.0,16.0,22800,96,Engineering Management
University of Wisconsin Madison - College of Engineering,328,21500.0,17.0,22800,97,Engineering Management
Iowa State University - College of Engineering,327,20000.0,18.0,19248,93,Engineering Management
Northwestern University - Robert R. McCormick School of Engineering,329,26500.0,14.0,42650,95,Engineering Management
Vanderbilt University - School of Engineering,329,25000.0,15.0,40800,95,Engineering Management
University of Virginia - School of Engineering and Applied Sciences,330,22000.0,17.0,40800,97,Engineering Management
University of Minnesota Twin Cities - College of Science and Engineering,327,20500.0,18.0,22800,93,Engineering Management
Rensselaer Polytechnic Institute - School of Engineering,329,24500.0,16.0,42650,94,Engineering Management
University of Rochester - Hajim School of Engineering and Applied Sciences,327,23000.0,16.0,40800,93,Engineering Management
University of Southern California - Viterbi School of Engineering,323,25500.0,15.0,39696,94,Engineering Management
University of Maryland College Park - A. James Clark School of Engineering,324,22000.0,17.0,22800,96,Engineering Management
Ohio State University - College of Engineering,323,21500.0,16.0,20760,94,Engineering Management
Virginia Tech - College of Engineering,327,21500.0,16.0,22800,96,Engineering Management
University of California Irvine - Henry Samueli School of Engineering,328,20000.0,18.0,25254,95,Engineering Management
University of Pennsylvania (UPenn),337,26000.0,14.0,42650,97,Engineering Management
Rice University,335,27000.0,13.0,40800,99,Engineering Management
"University of Michigan, Ann Arbor",338,23500.0,16.0,22800,97,Engineering Management
Georgia Institute of Technology,336,24500.0,15.0,20616,99,Engineering Management
University of Illinois at Urbana-Champaign,339,23000.0,16.0,22800,99,Engineering Management
Cornell University,333,25000.0,15.0,25332,96,Engineering Management
Johns Hopkins University,340,26500.0,14.0,40800,96,Engineering Management
Duke University,337,27000.0,13.0,40800,98,Engineering Management
"Texas A&M University, College Station",334,22000.0,17.0,22800,99,Engineering Management
